loss,recall,val_loss,val_recall,lr
0.004605849026889611,0.9976523518562317,0.6714658755064149,0.897185742855072,0.0010000000474974513
0.004616048525687168,0.9970889091491699,0.7018485062089028,0.899061918258667,0.0009944597259163857
0.004230675203514898,0.9974645376205444,0.6556027530348816,0.906941831111908,0.0009779754327610135
0.005588369039518695,0.9968072175979614,0.7960683086170147,0.896060049533844,0.0009509529336355627
0.007363191294988954,0.9963377118110657,0.7400012910920417,0.894183874130249,0.0009140576585195959
0.006056946759983741,0.9964315891265869,0.7222079452504182,0.894934356212616,0.0008681980543769896
0.0044764216170987475,0.9975584745407104,0.8172946696422405,0.897185742855072,0.0008145033498294652
0.004056783302264922,0.997934103012085,0.7825034867828002,0.897185742855072,0.0007542957318946719
0.007917485617171392,0.9969010949134827,0.693356607527849,0.905065655708313,0.0006890576332807541
0.004009363552982698,0.997934103012085,0.8235139729101884,0.8938086032867432,0.0006203955272212625
0.00428787854928734,0.9975584745407104,0.6700441091929644,0.906941831111908,0.0005499999970197678
0.0023794615732501867,0.998591423034668,0.7430266238640006,0.9065666198730469,0.0004796044959221035
0.0025383012895814194,0.9983096718788147,0.7640126762604008,0.900938093662262,0.00041094236075878143
0.0046563922597186854,0.9981219172477722,0.7963374787387216,0.9016885757446289,0.0003457042621448636
0.0018252061085652295,0.9987792372703552,0.7584384035407787,0.900187611579895,0.00028549664421007037
0.0028376930255816744,0.9984036087989807,0.7444809618259542,0.8975609540939331,0.00023180195421446115
0.0025309497484870816,0.998591423034668,0.7994844938383927,0.900187611579895,0.0001859423500718549
0.0022032765283762287,0.998591423034668,0.726692378609663,0.8994371294975281,0.00014904706040397286
0.001284928515124128,0.9994365572929382,0.712373140855648,0.9005628228187561,0.00012202456855447963
0.0023482119804436926,0.9989670515060425,0.8282280806018943,0.8998124003410339,0.00010554024629527703
