loss,root_loss,vowel_loss,consonant_loss,root_recall,vowel_recall,consonant_recall,val_loss,val_root_loss,val_vowel_loss,val_consonant_loss,val_root_recall,val_vowel_recall,val_consonant_recall,lr,weighted_recall
3.6690858738043945,1.4272336959838867,0.4448765814304352,0.3693934381008148,0.559901773929596,0.8391953706741333,0.8782513737678528,1.6275240336059007,0.5889806747436523,0.24692407250404358,0.20263898372650146,0.8216291666030884,0.9348934292793274,0.944712221622467,0.0010000000474974513,0.7093125730752945
1.2487790287391745,0.4597250819206238,0.17292726039886475,0.15634052455425262,0.8446989059448242,0.9498041272163391,0.9546637535095215,1.1090074664612155,0.441674143075943,0.1205560639500618,0.10510291159152985,0.8669587969779968,0.9666401147842407,0.968512237071991,0.0009960612514987588,0.8984664231538773
0.9723092698104383,0.35665544867515564,0.13335712254047394,0.125596821308136,0.8851490616798401,0.9630551934242249,0.9642966389656067,0.8825660975834796,0.32895463705062866,0.10024701803922653,0.12441007792949677,0.9009758830070496,0.9764190316200256,0.9642899632453918,0.0009843072621151805,0.9244124889373779
0.8260305842119946,0.3022969663143158,0.11403273046016693,0.10739041119813919,0.9043683409690857,0.9694881439208984,0.970391035079956,0.8930021728419772,0.305851548910141,0.1596364676952362,0.12166281044483185,0.9082254767417908,0.9613423347473145,0.9686516523361206,0.000964923354331404,0.9371539652347565
0.7184644643460929,0.263155460357666,0.09842187911272049,0.09378370642662048,0.9178516864776611,0.9742348790168762,0.9745402932167053,0.7629963813619759,0.2954116463661194,0.09115215390920639,0.08102104812860489,0.921410083770752,0.9790679216384888,0.979745090007782,0.0009382151765748858,0.946119636297226
0.6331666114328234,0.23148731887340546,0.08752816170454025,0.08268699049949646,0.928779125213623,0.9776405692100525,0.9774812459945679,0.760612717187435,0.28668150305747986,0.10754761099815369,0.07970202714204788,0.9192790389060974,0.9749651551246643,0.9790679216384888,0.0009046039776876569,0.9531700164079666
0.570250481449813,0.20726852118968964,0.07993803173303604,0.07578324526548386,0.9366593360900879,0.98051518201828,0.9796454906463623,0.7321581797290394,0.2783115804195404,0.0880853682756424,0.08744964748620987,0.9282015562057495,0.9808404445648193,0.9772754311561584,0.000864619854837656,0.9583698362112045
0.5055765418609696,0.18336401879787445,0.0703747421503067,0.0684599056839943,0.9444997906684875,0.9826927185058594,0.9818694591522217,0.6384315452806215,0.2428199201822281,0.08271542191505432,0.07007639855146408,0.9359689354896545,0.9819358587265015,0.9814180731773376,0.000818893255200237,0.963390439748764
0.44792689060868873,0.1621316522359848,0.06336551904678345,0.06033094599843025,0.9511584639549255,0.9846975803375244,0.9841731190681458,0.6454832965256907,0.24249744415283203,0.08219064027070999,0.07829755544662476,0.9375821352005005,0.9827325344085693,0.9818562269210815,0.0007681454881094396,0.9677969068288803
0.39869042430544155,0.14329208433628082,0.05799010023474693,0.05414697527885437,0.9565756916999817,0.986025333404541,0.9860519170761108,0.7006248861323786,0.26530301570892334,0.0932532548904419,0.07676570117473602,0.938498318195343,0.9826528429985046,0.982513427734375,0.0007131767342798412,0.9713071584701538
0.350884455092232,0.12554675340652466,0.05159826576709747,0.04824601486325264,0.9621124863624573,0.9876518845558167,0.9878311157226562,0.5920789014860874,0.22780101001262665,0.07470526546239853,0.06177160516381264,0.9421230554580688,0.9835889339447021,0.9841266870498657,0.0006548539968207479,0.9749269932508469
0.30223568196530315,0.10536084324121475,0.04724464565515518,0.044261083006858826,0.9683330059051514,0.9886609315872192,0.9890194535255432,0.5999183076559436,0.22858397662639618,0.07612572610378265,0.06662441790103912,0.9460067749023438,0.9848237633705139,0.9845648407936096,0.0005940969567745924,0.9785865992307663
0.26543185591444446,0.0918460264801979,0.04223217815160751,0.039506688714027405,0.9724755883216858,0.9900617599487305,0.9902675151824951,0.5939783107290286,0.22471672296524048,0.07433176040649414,0.07021316140890121,0.9476000666618347,0.9857398867607117,0.9847440719604492,0.0005318638868629932,0.9813201129436493
0.22667799906403643,0.0770270973443985,0.0379609651863575,0.034710414707660675,0.9765385389328003,0.9913098216056824,0.9913762211799622,0.6724587271402356,0.252188116312027,0.09663676470518112,0.07144573330879211,0.9502091407775879,0.9845847487449646,0.9855008721351624,0.000469136139145121,0.9839407801628113
0.18492087320335152,0.06202162429690361,0.031066907569766045,0.029795659705996513,0.9808272123336792,0.992591142654419,0.9927371740341187,0.6017617424973701,0.22732044756412506,0.07973216474056244,0.06738865375518799,0.952937662601471,0.9854809641838074,0.9857398867607117,0.00040690304012969136,0.986745685338974
0.15149789760488364,0.04931702837347984,0.027897704392671585,0.0250094011425972,0.9843192100524902,0.9934342503547668,0.9938790202140808,0.6438586409120766,0.2470603734254837,0.07621798664331436,0.07351981848478317,0.9512049555778503,0.9865763783454895,0.9853216409683228,0.0003461460000835359,0.988987922668457
0.12571688840282094,0.03959117829799652,0.024171991273760796,0.022404056042432785,0.9875190854072571,0.9944366812705994,0.994529664516449,0.7349558344760165,0.27848970890045166,0.09519318491220474,0.08278325945138931,0.9534355998039246,0.9848237633705139,0.9858394861221313,0.0002878232335206121,0.9910011291503906
0.09894455308827288,0.029295818880200386,0.02123945765197277,0.01910092495381832,0.990639328956604,0.994961142539978,0.9954258799552917,0.7314800844165205,0.27758094668388367,0.09243495017290115,0.08388346433639526,0.9533360004425049,0.9862577319145203,0.9860585331916809,0.00023285450879484415,0.9929164201021194
0.07627031823445472,0.02178052067756653,0.0171735230833292,0.015526034869253635,0.9931089282035828,0.9958972334861755,0.9961229562759399,0.7070362681650934,0.26870986819267273,0.08686164021492004,0.08275514096021652,0.9570603370666504,0.9872137308120728,0.9868552088737488,0.00018210671260021627,0.9945595115423203
0.05916280970209854,0.016050511971116066,0.01458355225622654,0.012482832185924053,0.9950142502784729,0.9965412020683289,0.9968200325965881,0.7611919530446976,0.28814348578453064,0.09372241050004959,0.09118270128965378,0.9569209218025208,0.9876518845558167,0.9865564703941345,0.0001363801711704582,0.9958474338054657
0.04645838500276601,0.012238150462508202,0.01178043894469738,0.01019756868481636,0.9961229562759399,0.9971452951431274,0.997317910194397,0.7518606318525838,0.2863037586212158,0.09231002628803253,0.08694322407245636,0.9577175974845886,0.987532377243042,0.9868950247764587,9.639601194066927e-05,0.9966772794723511
0.036889751548331975,0.008885616436600685,0.010400892235338688,0.008720586076378822,0.9970921874046326,0.9973112940788269,0.9977494478225708,0.7730317470681576,0.29571333527565,0.0907868891954422,0.09081803262233734,0.9570205211639404,0.9875921010971069,0.9860585331916809,6.27848130534403e-05,0.9973112791776657
0.02957610140773418,0.006961580831557512,0.008684058673679829,0.006966134533286095,0.9981278777122498,0.9977560639381409,0.9980548620223999,0.7425297718428777,0.28095561265945435,0.09271981567144394,0.08789879083633423,0.9589524269104004,0.987512469291687,0.9869349002838135,3.60766462108586e-05,0.9980166703462601
0.02600273679220849,0.005776419769972563,0.008025416173040867,0.006421019323170185,0.9983204007148743,0.9978954792022705,0.9982274174690247,0.783935504700069,0.2983610928058624,0.09339732676744461,0.09381572157144547,0.9578769207000732,0.9874925017356873,0.9860784411430359,1.6692711142241023e-05,0.9981909245252609
0.02464699904468203,0.0053415060974657536,0.008034653030335903,0.005930588115006685,0.9985129237174988,0.9979220628738403,0.9983403086662292,0.7576139995510721,0.28811660408973694,0.09332294762134552,0.088057741522789,0.9585142135620117,0.9878311157226562,0.9867755174636841,4.938706752000144e-06,0.9983220547437668
