epoch,lr,train_loss,val_loss,train_rocauc,val_rocauc,time
0.017760,0.001000,0.218471,0.334141,0.527809,0.674571,0:08:59
0.036885,0.001000,0.193720,0.417153,0.579344,0.588809,0:09:24
0.056011,0.001000,0.192605,0.369062,0.573984,0.570816,0:09:55
0.075137,0.001000,0.190186,0.349425,0.595360,0.597977,0:10:27
0.094262,0.001000,0.188855,0.348469,0.612809,0.572148,0:11:01
0.113388,0.001000,0.185089,0.347104,0.625348,0.579088,0:11:32
0.132514,0.001000,0.184506,0.385821,0.624226,0.549509,0:12:03
0.151639,0.001000,0.181969,0.355406,0.637387,0.582431,0:12:32
0.170765,0.001000,0.180874,0.417558,0.649996,0.669248,0:13:07
0.189891,0.001000,0.178583,0.394910,0.663460,0.679704,0:13:42
0.209016,0.001000,0.178569,0.300514,0.677168,0.748710,0:14:13
0.228142,0.001000,0.177473,0.281402,0.684242,0.723579,0:14:45
0.247268,0.001000,0.176703,0.332492,0.689496,0.744489,0:15:15
0.266393,0.001000,0.176376,0.371451,0.693526,0.772392,0:15:46
0.285519,0.001000,0.174952,0.369429,0.696723,0.737036,0:16:15
0.304645,0.001000,0.174447,0.414025,0.699349,0.706753,0:16:43
0.323770,0.001000,0.173798,0.303425,0.706544,0.791064,0:17:14
0.342896,0.001000,0.173780,0.312667,0.706375,0.797328,0:17:47
0.362022,0.001000,0.175157,0.259301,0.702705,0.825720,0:18:18
0.381148,0.001000,0.175131,0.329571,0.707969,0.780855,0:18:50
0.400273,0.001000,0.174577,0.354952,0.712367,0.805448,0:19:20
0.419399,0.001000,0.173989,0.349889,0.714542,0.817169,0:19:51
0.438525,0.001000,0.174581,0.291252,0.717924,0.812105,0:20:23
0.457650,0.001000,0.175031,0.290201,0.724282,0.823379,0:20:55
0.476776,0.001000,0.175400,0.304793,0.727667,0.812874,0:21:30
0.495902,0.001000,0.174833,0.338268,0.725879,0.794149,0:22:10
0.515027,0.001000,0.175014,0.329778,0.726126,0.807387,0:22:48
0.534153,0.001000,0.176313,0.238181,0.737523,0.834978,0:23:21
0.553279,0.001000,0.179818,0.229731,0.758846,0.851545,0:23:59
0.572404,0.001000,0.186068,0.232862,0.777000,0.848948,0:24:34
0.591530,0.001000,0.192212,0.263533,0.794542,0.809792,0:25:08
0.610656,0.001000,0.197445,0.380001,0.805569,0.745079,0:25:53
0.629781,0.001000,0.201528,0.289775,0.811931,0.823326,0:26:26
0.648907,0.001000,0.205145,0.260607,0.816634,0.815767,0:26:55
0.668033,0.001000,0.208699,0.310649,0.821718,0.819879,0:27:26
0.687158,0.001000,0.210204,0.341077,0.824428,0.792958,0:28:00
0.706284,0.001000,0.212339,0.244902,0.825870,0.845544,0:28:34
0.725410,0.001000,0.215307,0.265067,0.830815,0.819480,0:29:07
0.744536,0.001000,0.220579,0.239555,0.833663,0.864099,0:29:38
0.763661,0.001000,0.225437,0.231878,0.838180,0.858466,0:30:08
0.782787,0.001000,0.231905,0.258468,0.844631,0.818023,0:30:39
0.801913,0.001000,0.238134,0.322989,0.847494,0.791237,0:31:07
0.821038,0.001000,0.243768,0.252711,0.849752,0.827150,0:31:38
0.840164,0.001000,0.249536,0.650330,0.853472,0.768683,0:32:09
0.859290,0.001000,0.254142,0.435705,0.856616,0.796556,0:32:40
0.878415,0.001000,0.258642,0.450571,0.858846,0.829766,0:33:13
0.897541,0.001000,0.262936,0.297027,0.861310,0.819336,0:33:45
0.916667,0.001000,0.266730,0.281432,0.861603,0.829743,0:34:16
0.935792,0.001000,0.270110,0.233557,0.861603,0.820295,0:34:47
0.954918,0.001000,0.273811,0.282280,0.861531,0.819843,0:35:13
0.974044,0.001000,0.276251,0.230304,0.861608,0.843564,0:35:27
0.993169,0.001000,0.276834,0.218210,0.861852,0.854093,0:35:41
